,CR_x0,CR_y0,CR_z0,CR_dir_x,CR_dir_y,CR_dir_z,CR_latitude,CR_longitude,Accepted
0,-12452.459384361156,-9584.712221969787,21166.5913860229,0.48368712033532757,0.821524631026196,0.30190072911304966,36.590094163195936,217.58563544112187,1
1,15075.346699665326,-6465.342780790467,20637.061530454626,-0.37595901272895266,0.9010556490081127,0.21622566484679853,38.47923808584771,336.7870266043734,1
2,432.7590092314722,7716.547114213777,25203.624030564493,-0.9638889270105256,-0.04071704294250126,-0.26317343863033793,17.048119190635216,86.7901033814713,1
3,10309.202969467686,-12815.994512898118,20601.59369514126,-0.7921752542528205,0.49242546088374456,0.36052119497043594,38.60295758006897,308.8132451399528,1
4,-2089.669755918824,3464.0759408447652,26049.731326584897,0.7913680724434171,-0.5959316341908009,-0.13638937380849045,8.827592870085326,121.10006730803441,1
5,-21234.01803618924,-7847.173968801021,13509.011168185536,0.4005161043849694,0.7557160197882394,0.5181506996653673,59.173334151201516,200.28213051634123,1
6,-2028.1167178376022,8638.269159991349,24823.821069657468,0.9454365036526247,-0.3125412676440555,-0.09202050630456005,19.669192824129727,103.21275536378806,1
7,20533.926270658616,-7731.3202017695085,14612.994349169732,-0.2704605333262186,0.885112436519717,0.37871767140051343,56.336081721431746,339.3679183575092,1
8,16287.000685417499,-12007.892029694398,16896.72103327778,-0.48386100963519996,0.7000364866740582,0.5251927652584776,50.13731298186414,323.599818779646,1
9,16554.805592759378,860.7509197780212,20497.623365650084,-0.0856451989547243,-0.9705272009463757,-0.22525952170596317,38.96371769175591,2.9763578553452685,1
10,-4912.479182041628,-25385.75720903271,-5136.723003048887,0.646312018236959,0.005132819871123614,0.7630559804120792,101.23615459996037,259.04788049200596,1
11,-17555.8445560767,-8683.838437244955,-17644.781549191794,-0.28736011070349254,-0.3935452929304655,0.8732389530871552,132.01509435239873,206.31888111681258,1
12,-9665.392551487323,-17939.968874890204,-16724.017089013756,-0.29999435822333753,-0.29265226274443507,0.9079416490858485,129.37539737479588,241.68585306608873,1
13,2023.7251126267204,12125.804354888813,23320.0439411139,-0.9715515075199013,-0.19862468830808536,-0.12898023658810406,27.796643248935748,80.52499990077177,1
14,-15990.743469368614,-14006.648971640418,-15590.540461513498,-0.18679353924948533,-0.32211052401596535,0.9280910429547369,126.25656414456175,221.21584112778362,1
15,9869.861663741114,-10307.178713885703,22165.354535820876,-0.7703131885064235,0.5744300748785777,0.27685317532594617,32.77456319692295,313.7583660239196,1
